City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Jacareacanga,90,BR,1586799455,94,-6.22,-57.75,77.0,2.24
Port Alfred,98,ZA,1586799456,88,-33.59,26.89,62.01,1.99
Longyearbyen,75,SJ,1586799457,66,78.22,15.64,15.8,11.41
Cherskiy,78,RU,1586799258,86,68.75,161.3,2.98,4.38
Kaputa,99,ZM,1586799461,68,-8.47,29.66,69.33,1.74
Iskateley,100,RU,1586799462,94,67.68,53.15,18.77,12.1
Sangar,3,RU,1586799463,93,63.92,127.47,16.12,10.74
Nikolskoye,75,RU,1586799464,84,59.7,30.79,39.2,8.95
Tateyama,75,JP,1586799465,87,34.98,139.87,46.4,12.75
Vaini,20,TO,1586799466,100,-21.2,-175.2,69.8,3.36
Jingdezhen,64,CN,1586799467,60,29.29,117.21,52.16,3.22
Hithadhoo,73,MV,1586799468,65,-0.6,73.08,85.82,5.53
Roald,75,NO,1586799439,80,62.58,6.13,37.0,13.87
Atuona,30,PF,1586799471,70,-9.8,-139.03,81.82,7.83
Antofagasta,13,CL,1586799296,60,-23.65,-70.4,68.0,11.41
El Retorno,96,CO,1586799473,38,2.33,-72.63,93.11,6.02
Hong Kong,92,HK,1586799330,37,22.29,114.16,70.0,2.24
Portland,1,US,1586799145,43,45.52,-122.68,57.0,6.93
San Patricio,20,MX,1586799341,61,19.22,-104.7,80.6,5.82
San Quintín,27,MX,1586799477,64,30.48,-115.95,62.56,15.64
Cidreira,100,BR,1586799478,64,-30.18,-50.21,74.7,12.3
Kahului,75,US,1586799479,94,20.89,-156.47,71.6,9.17
Dingle,7,PH,1586799480,84,11.0,122.67,78.08,5.77
Teya,0,RU,1586799482,91,60.38,92.63,30.97,2.08
Mahébourg,75,MU,1586799483,74,-20.41,57.7,78.8,11.41
Pevek,98,RU,1586799484,91,69.7,170.31,-2.24,2.66
Avarua,95,CK,1586799485,83,-21.21,-159.78,77.0,2.24
Bethel,90,US,1586799486,87,41.37,-73.41,61.0,18.34
Butaritari,91,KI,1586799487,80,3.07,172.79,83.07,16.53
Mórrope,68,PE,1586799488,29,-6.54,-80.01,66.2,6.93
Castro,9,BR,1586799490,34,-24.79,-50.01,76.28,2.53
Fortuna,1,US,1586799491,71,40.6,-124.16,57.0,7.52
Faanui,44,PF,1586799492,70,-16.48,-151.75,82.99,9.6
Benguela,75,AO,1586799493,70,-12.58,13.41,84.2,9.17
Casper,1,US,1586799221,57,42.87,-106.31,21.0,10.29
Srednekolymsk,100,RU,1586799495,97,67.45,153.68,17.71,2.1
Kalmunai,38,LK,1586799496,75,7.42,81.82,81.88,4.27
Okha,99,RU,1586799498,99,53.57,142.95,26.46,5.12
Banda Aceh,93,ID,1586799454,77,5.56,95.32,80.67,2.06
Kangaatsiaq,100,GL,1586799501,97,68.31,-53.46,31.5,25.72
George Town,20,MY,1586799434,88,5.41,100.34,84.2,3.36
Cape Town,75,ZA,1586799503,77,-33.93,18.42,62.01,6.93
Dickinson,5,US,1586799504,59,29.46,-95.05,64.99,12.75
Omboué,56,GA,1586799506,81,-1.57,9.26,80.83,5.19
São João da Barra,75,BR,1586799507,65,-21.64,-41.05,78.8,11.41
Nanortalik,83,GL,1586799508,92,60.14,-45.24,32.7,10.74
Bambous Virieux,75,MU,1586799509,74,-20.34,57.76,78.8,11.41
Qaanaaq,100,GL,1586799510,87,77.48,-69.36,21.96,2.19
Hobart,90,AU,1586799442,81,-42.88,147.33,53.6,10.29
Barrow,90,US,1586799301,92,71.29,-156.79,19.4,6.93
Marsh Harbour,94,BS,1586799515,79,26.54,-77.06,79.14,17.94
Te Karaka,35,NZ,1586799516,63,-38.47,177.87,53.55,7.65
Breytovo,100,RU,1586799517,62,58.3,37.86,44.53,15.93
Bandarbeyla,76,SO,1586799518,72,9.49,50.81,81.59,12.64
Shingū,87,JP,1586799519,68,33.73,135.98,48.18,13.85
Berlevåg,100,NO,1586799521,93,70.86,29.09,33.24,26.37
Alice Springs,92,AU,1586799429,55,-23.7,133.88,60.8,4.7
New Norfolk,90,AU,1586799523,81,-42.78,147.06,53.6,10.29
Khani,0,GE,1586799524,70,41.96,42.96,46.4,3.36
Ambilobe,90,MG,1586799526,74,-13.2,49.05,78.21,8.52
Ardakān,40,IR,1586799527,34,32.31,54.02,68.0,4.7
Nelson,47,NZ,1586799528,85,-41.28,173.28,46.0,11.86
Alekseyevsk,0,RU,1586799530,87,57.84,108.35,31.95,6.04
Mar del Plata,90,AR,1586799531,87,-38.0,-57.56,60.01,12.75
Tasiilaq,45,GL,1586799532,92,65.61,-37.64,30.2,11.41
Podyuga,100,RU,1586799533,80,61.09,40.86,37.18,11.39
Vostok,0,RU,1586799534,68,46.49,135.88,32.34,4.09
Luanda,40,AO,1586799535,74,-8.84,13.23,84.2,11.41
Kavieng,92,PG,1586799537,75,-2.57,150.8,82.87,4.36
Jamestown,90,US,1586799503,93,42.1,-79.24,59.0,12.75
Esperance,90,AU,1586799540,88,-33.87,121.9,64.4,4.7
Tiksi,36,RU,1586799541,88,71.69,128.87,-6.54,6.58
Kindu,96,CD,1586799542,84,-2.95,25.95,72.95,1.21
Pangoa,16,PE,1586799543,46,-12.12,-73.0,86.38,4.7
Upernavik,100,GL,1586799547,98,72.79,-56.15,32.07,5.93
Merauke,39,ID,1586799548,86,-8.47,140.33,78.26,11.03
Puerto Ayora,75,EC,1586799549,70,-0.74,-90.35,84.2,14.99
Vestmannaeyjar,90,IS,1586799550,93,63.44,-20.27,44.6,16.11
Chuzhou,90,CN,1586799551,48,32.32,118.3,55.0,5.93
‘Āhuimanu,75,US,1586799552,69,21.44,-157.84,77.0,5.82
Grand Gaube,75,MU,1586799554,74,-20.01,57.66,78.8,11.41
Qaqortoq,85,GL,1586799555,89,60.72,-46.03,32.94,13.35
Hasaki,75,JP,1586799556,81,35.73,140.83,43.0,18.34
Kapaa,90,US,1586799376,77,22.08,-159.32,69.8,6.93
Brookhaven,90,US,1586799558,77,31.58,-90.44,62.6,11.41
Mahuva,22,IN,1586799559,36,21.09,71.76,87.66,16.49
Chui,100,UY,1586799560,63,-33.7,-53.46,71.33,5.39
Howick,23,ZA,1586799561,94,-29.48,30.23,68.0,1.01
Safakulevo,72,RU,1586799563,64,54.99,62.54,40.5,5.17
Tel'ma,51,RU,1586799564,59,52.7,103.71,33.8,2.24
Fort Nelson,75,CA,1586799565,43,58.81,-122.7,35.6,5.82
Faya,74,SA,1586799566,82,18.39,42.45,66.2,5.82
Lebu,31,CL,1586799567,52,-37.62,-73.65,60.64,12.84
Chokurdakh,100,RU,1586799571,96,70.63,147.92,11.62,7.47
Ures,0,MX,1586799572,34,29.43,-110.4,75.99,7.0
Tsimmerbude,40,RU,1586799573,60,54.67,20.13,41.0,17.9
Ponta do Sol,40,PT,1586799574,59,32.67,-17.1,66.2,9.17
Saskylakh,97,RU,1586799575,94,71.92,114.08,13.42,8.19
Puerto Ayacucho,20,VE,1586799576,30,5.66,-67.62,96.8,14.99
Sioux Lookout,75,CA,1586799578,57,50.1,-91.92,23.0,11.41
Pangody,98,RU,1586799579,98,65.85,74.49,25.12,10.74
Camopi,97,GF,1586799580,83,3.17,-52.32,77.76,1.5
Lüderitz,0,NA,1586799581,67,-26.65,15.16,62.6,17.22
Camaná,85,PE,1586799582,70,-16.62,-72.71,74.03,7.99
Río Gallegos,93,AR,1586799583,55,-51.62,-69.22,57.2,32.21
Kieta,5,PG,1586799584,78,-6.22,155.63,80.19,1.83
Sabang,89,ID,1586799585,69,5.89,95.32,83.57,1.45
Östersund,100,SE,1586799589,80,63.18,14.64,32.0,21.92
Busselton,80,AU,1586799590,65,-33.65,115.33,59.0,5.14
Alyangula,59,AU,1586799591,94,-13.85,136.42,71.6,8.08
Laguna,1,US,1586799592,76,38.42,-121.42,64.0,3.36
Dikson,8,RU,1586799594,94,73.51,80.55,-0.36,3.83
Natitingou,10,BJ,1586799595,21,10.3,1.38,92.57,3.18
Rāzole,0,IN,1586799596,81,16.48,81.83,79.14,3.85
Pimentel,51,PE,1586799597,29,-6.84,-79.93,66.2,6.93
Shelburne,90,CA,1586799598,82,44.08,-80.2,57.2,12.75
Saint Anthony,75,US,1586799600,73,45.02,-93.22,36.0,10.29
Pisco,20,PE,1586799603,30,-13.7,-76.22,73.99,10.29
Jardim,6,BR,1586799604,43,-21.48,-56.14,90.0,5.66
Gizo Government Station,89,SB,1586799605,79,-8.1,156.84,81.41,3.56
Caohai,100,CN,1586799606,48,26.87,104.28,43.68,2.08
Nokaneng,93,BW,1586799607,32,-19.67,22.27,80.56,4.7
Belmonte,75,BR,1586799608,78,-15.86,-38.88,80.6,10.29
Sur,96,OM,1586799609,45,22.57,59.53,84.11,3.04
Douglas,40,US,1586799478,35,41.3,-96.17,41.0,14.99
Pemangkat,5,ID,1586799614,83,1.17,108.97,77.14,9.57
Kavaratti,77,IN,1586799615,76,10.57,72.64,84.65,10.31
Padang,86,ID,1586799491,76,-0.95,100.35,78.76,3.06
Karmāla,36,IN,1586799617,28,18.42,75.2,86.58,13.47
Saint George,1,US,1586799407,20,37.1,-113.58,60.01,6.15
Shenjiamen,32,CN,1586799619,61,29.96,122.3,55.11,4.63
Winston-Salem,90,US,1586799621,60,36.1,-80.24,75.2,11.41
Vardø,75,NO,1586799622,95,70.37,31.11,32.0,20.8
Vao,90,NC,1586799624,80,-22.67,167.48,75.81,11.9
Usinsk,0,RU,1586799626,95,65.99,57.53,18.32,9.57
Okhotsk,83,RU,1586799627,96,59.38,143.3,22.42,4.43
Mormugao,4,IN,1586799628,88,15.4,73.8,79.02,7.63
Farnes,40,NO,1586799629,84,61.32,7.8,32.0,21.92
Vryburg,56,ZA,1586799631,26,-26.96,24.73,72.39,8.08
Miramar,75,US,1586799597,55,25.99,-80.23,91.99,16.11
Bengkulu,100,ID,1586799634,79,-3.8,102.27,78.66,3.78
Basco,91,PH,1586799635,71,20.45,121.97,68.99,24.85
Ben Gardane,85,TN,1586799636,46,33.14,11.22,72.75,21.21
Port Macquarie,51,AU,1586799637,93,-31.43,152.92,57.99,4.54
Provideniya,91,RU,1586799638,95,64.38,-173.3,22.96,2.04
Comodoro Rivadavia,0,AR,1586799540,40,-45.87,-67.5,68.0,12.75
Shakhtinsk,1,KZ,1586799641,86,49.71,72.59,37.4,6.71
Nantucket,90,US,1586799528,93,41.28,-70.1,55.4,23.04
Orotukan,68,RU,1586799643,87,62.27,151.7,10.11,2.39
Ulladulla,16,AU,1586799597,93,-35.35,150.47,53.6,8.05
Leningradskiy,26,RU,1586799645,86,69.38,178.42,5.29,2.64
Valparaíso,15,CL,1586799647,46,-33.04,-71.63,69.8,4.7
Ilulissat,75,GL,1586799648,86,69.22,-51.1,32.0,5.82
Geraldton,16,AU,1586799650,77,-28.77,114.6,68.0,12.75
Doha,75,QA,1586799651,77,25.29,51.53,71.6,11.41
Narsaq,95,GL,1586799652,88,60.92,-46.05,33.6,15.03
Hearst,100,CA,1586799654,95,49.68,-83.67,21.92,17.16
Airai,50,TL,1586799655,71,-8.93,125.41,61.5,2.04
Las Vegas,1,US,1586799450,12,36.17,-115.14,68.0,4.7
Huizhou,87,CN,1586799657,60,23.08,114.4,70.0,2.64
Benjamin Constant,40,BR,1586799659,74,-4.38,-70.03,84.2,4.7
Cascais,20,PT,1586799661,51,38.7,-9.42,61.0,4.7
Souillac,75,MU,1586799662,74,-20.52,57.52,78.8,11.41
Palmer,90,US,1586799663,87,42.16,-72.33,61.0,27.51
Sungai Penuh,95,ID,1586799665,74,-2.08,101.38,67.19,1.32
Talnakh,75,RU,1586799666,92,69.49,88.4,19.4,20.13
Port Elizabeth,28,ZA,1586799419,72,-33.92,25.57,60.8,11.41
Inhambane,20,MZ,1586799668,83,-23.86,35.38,78.8,11.41
Banamba,77,ML,1586799669,29,13.55,-7.45,91.22,7.58
Oranjemund,1,NA,1586799671,84,-28.55,16.43,57.16,9.82
Yulara,98,AU,1586799478,35,-25.24,130.99,73.4,8.05
Pombas,20,CV,1586799673,57,17.15,-25.02,78.8,18.34
Poum,100,NC,1586799674,80,-20.23,164.02,78.96,10.13
Port Hawkesbury,90,CA,1586799675,93,45.62,-61.35,48.0,9.17
San Ramon,1,US,1586799676,71,37.78,-121.98,64.0,1.48
Sumbe,77,AO,1586799677,84,-11.21,13.84,78.87,3.67
Puerto del Rosario,40,ES,1586799679,53,28.5,-13.86,73.4,5.82
Adrar,70,MR,1586799680,11,20.5,-10.07,93.78,8.84
Hervey Bay,55,AU,1586799681,82,-25.3,152.85,68.0,8.05
Marawi,40,PH,1586799682,67,8.0,124.29,67.19,2.53
Mushie,92,CD,1586799683,71,-3.02,16.9,78.73,2.06
Mogok,0,MM,1586799684,31,22.92,96.5,68.36,3.13
Hamilton,90,US,1586799685,75,39.18,-84.53,44.01,14.99
Kruisfontein,26,ZA,1586799686,79,-34.0,24.73,56.95,6.82
Sola,100,VU,1586799687,82,-13.88,167.55,81.41,20.11
Øksfjord,40,NO,1586799689,69,70.24,22.35,35.6,38.03
Villa de Reyes,5,MX,1586799690,14,21.8,-100.93,75.2,13.87
Novobirilyussy,3,RU,1586799691,69,56.95,90.67,39.16,8.08
Tieli,39,CN,1586799692,45,46.95,128.05,47.53,3.69
Tazovsky,95,RU,1586799693,97,67.47,78.7,17.58,9.37
Hue,100,VN,1586799694,88,16.47,107.6,67.6,3.78
Isangel,100,VU,1586799695,74,-19.55,169.27,78.01,8.52
Kachug,18,RU,1586799696,75,53.96,105.88,32.09,2.26
Nísia Floresta,20,BR,1586799697,46,-6.09,-35.21,91.4,9.17
Ust-Nera,100,RU,1586799507,88,64.57,143.2,18.07,1.79
Najrān,40,SA,1586799700,37,17.49,44.13,84.2,6.93
Nome,90,US,1586799702,100,64.5,-165.41,21.99,3.36
Ostrovnoy,100,RU,1586799703,94,68.05,39.51,32.34,20.36
Kumul,53,CN,1586799704,19,42.8,93.45,66.24,5.19
Abu Dhabi,69,AE,1586799606,65,24.47,54.37,84.2,10.29
Seryshevo,42,RU,1586799706,76,51.09,128.38,35.02,10.8
Galveston,20,US,1586799430,63,29.37,-94.97,64.99,18.34
Kargasok,88,RU,1586799691,96,59.06,80.86,35.29,3.91
Aswān,0,EG,1586799709,17,24.09,32.91,74.5,12.91
Graham,1,US,1586799711,37,47.05,-122.29,55.99,3.36
Kununurra,0,AU,1586799712,94,-15.77,128.73,73.4,3.24
Yangi Marg`ilon,90,UZ,1586799713,82,40.43,71.72,55.4,4.7
Belomorsk,100,RU,1586799714,95,64.52,34.77,37.83,7.67
Belyy Yar,100,RU,1586799715,60,53.6,91.39,39.2,2.24
Mandalgovi,18,MN,1586799716,29,45.76,106.27,43.0,0.54
Taseyevo,0,RU,1586799717,81,57.22,94.9,38.25,8.16
Thompson,75,CA,1586799718,55,55.74,-97.86,8.6,4.7
Agadez,0,NE,1586799720,11,19.75,10.25,87.6,7.4
Gävle,100,SE,1586799721,42,60.67,17.14,39.0,15.99
Ingham,90,US,1586799722,74,42.6,-84.38,42.8,29.97
Merrill,90,US,1586799507,54,45.18,-89.68,30.99,18.34
Saýat,75,TM,1586799724,82,38.78,63.88,59.0,4.7
Chipinge,69,ZW,1586799725,47,-20.19,32.62,67.08,7.29
Jimo,14,CN,1586799726,47,36.39,120.46,55.0,4.47
Ürümqi,99,CN,1586799727,24,43.8,87.6,68.0,8.95
Sistranda,75,NO,1586799728,69,63.73,8.83,35.6,21.92
Atasū,4,KZ,1586799661,47,48.68,71.64,48.38,6.98
Tuatapere,94,NZ,1586799731,81,-46.13,167.68,45.0,11.99
Rawson,0,AR,1586799732,38,-43.3,-65.1,64.29,3.67
Bilibino,89,RU,1586799733,89,68.05,166.44,3.34,1.34
Tongzi,91,CN,1586799479,63,28.78,105.09,57.56,0.51
Sémbé,20,CG,1586799735,64,1.65,14.58,78.6,2.26
Los Llanos de Aridane,75,ES,1586799736,77,28.66,-17.92,66.2,4.7
Mount Gambier,43,AU,1586799737,81,-37.83,140.77,53.6,10.29
Coahuayana Viejo,40,MX,1586799738,39,18.73,-103.68,82.4,5.95
Richards Bay,18,ZA,1586799739,86,-28.78,32.04,73.33,13.78
Mugumu,96,TZ,1586799742,62,-1.85,34.7,63.27,1.74
Cap Malheureux,75,MU,1586799743,74,-19.98,57.61,78.8,11.41
College,90,US,1586799744,89,64.86,-147.8,37.4,3.36
Kiryat Gat,63,IL,1586799746,68,31.61,34.76,64.99,9.17
Beckley,90,US,1586799747,82,37.78,-81.19,64.4,17.22
Labuhan,63,ID,1586799748,85,-6.88,112.21,77.5,1.59
Santiago,6,CL,1586799662,43,-33.46,-70.65,69.8,3.36
Kyzyl-Suu,96,KG,1586799751,34,42.34,78.0,48.29,5.5
Jackson,1,US,1586799514,45,42.42,-122.83,55.0,2.08
Shaunavon,100,CA,1586799754,76,49.65,-108.42,20.17,16.87
Maraã,79,BR,1586799755,81,-1.83,-65.37,83.77,3.13
Viedma,1,AR,1586799756,37,-40.81,-63.0,67.42,12.26
Sechura,95,PE,1586799757,66,-5.56,-80.82,77.63,8.34
East London,100,ZA,1586799758,83,-33.02,27.91,68.07,2.86
Takoradze,35,GH,1586799759,79,4.88,-1.76,83.1,8.05
Hayden,1,US,1586799760,38,47.77,-116.79,46.99,3.36
Walvis Bay,32,NA,1586799761,72,-22.96,14.51,66.2,10.29
Margate,20,GB,1586799762,56,51.38,1.39,46.99,12.75
Taos,90,US,1586799734,80,36.41,-105.57,33.8,18.34
Yerbogachën,42,RU,1586799765,81,61.28,108.01,33.84,1.52
Cabo Rojo,13,PR,1586799766,69,18.09,-67.15,88.0,7.74
Tuktoyaktuk,90,CA,1586799767,79,69.45,-133.04,24.8,10.29
Westport,90,US,1586799768,87,41.14,-73.36,60.01,31.09
Turukhansk,100,RU,1586799770,92,65.82,87.98,34.48,8.97
Sulphur Springs,1,US,1586799771,57,33.14,-95.6,53.01,17.22
Narrabri,2,AU,1586799772,82,-30.32,149.78,55.99,5.82
Petropavlovsk-Kamchatskiy,23,RU,1586799773,79,53.05,158.65,23.0,4.47
Champasak,100,LA,1586799775,86,14.75,106.0,72.97,1.52
Roebourne,60,AU,1586799776,58,-20.78,117.13,84.38,3.96
Deputatsky,100,RU,1586799777,86,69.3,139.9,-0.45,8.23
Sheoganj,93,IN,1586799778,16,25.15,73.07,87.26,6.11
São Mateus,32,BR,1586799779,65,-18.72,-39.86,79.92,14.18
Saint-Pierre,97,RE,1586799780,83,-21.34,55.48,77.0,4.7
Bira,67,RU,1586799781,61,49.0,132.47,44.19,3.87
Zwedru,98,LR,1586799782,76,6.07,-8.13,80.51,5.61
Nuuk,90,GL,1586799701,86,64.18,-51.72,30.2,24.16
Derzhavīnsk,85,KZ,1586799784,54,51.1,66.32,44.55,9.48
Belle Fourche,61,US,1586799785,62,44.67,-103.85,26.01,21.92
Kilrush,20,IE,1586799787,54,52.64,-9.48,59.0,12.75
Sambava,51,MG,1586799788,90,-14.27,50.17,75.69,7.4
Nabire,100,ID,1586799639,89,-3.37,135.48,74.8,2.93
Port Blair,54,IN,1586799762,69,11.67,92.75,83.12,4.94
Torrington,90,US,1586799711,87,41.8,-73.12,61.0,24.16
Yenagoa,82,NG,1586799793,81,4.92,6.26,81.82,3.56
Mozhga,100,RU,1586799794,85,56.44,52.23,36.43,11.54
Cabo San Lucas,20,MX,1586799590,53,22.89,-109.91,77.0,8.05
Rocha,100,UY,1586799506,59,-34.48,-54.33,71.17,5.12
Kendari,85,ID,1586799798,87,-3.94,122.5,77.02,0.51
Honningsvåg,75,NO,1586799799,86,70.98,25.97,33.8,27.51
Kalabo,97,ZM,1586799800,49,-14.97,22.68,72.01,3.49
Xudat,5,AZ,1586799801,65,41.63,48.68,44.29,8.34
Praia,79,CV,1586799742,51,14.92,-23.51,84.2,13.87
Klaksvík,100,FO,1586799803,75,62.23,-6.59,42.8,12.75
Sitka,90,US,1586799804,87,57.05,-135.33,42.8,4.65
Dalton,75,US,1586799600,59,34.77,-84.97,69.01,9.17
Pampa,90,US,1586799807,39,35.54,-100.96,34.0,5.82
Lagos,20,NG,1586799518,66,6.58,3.75,87.8,5.82
Sikeston,40,US,1586799707,47,36.88,-89.59,48.99,9.17
Greenville,75,US,1586799530,73,35.61,-77.37,73.4,19.46
Brae,100,GB,1586799813,64,60.4,-1.35,41.0,10.29
Krasnyy Chikoy,94,RU,1586799814,54,50.36,108.75,36.05,5.75
Presidencia Roque Sáenz Peña,99,AR,1586799815,48,-26.79,-60.44,71.8,10.07
Yumen,85,CN,1586799816,19,40.28,97.2,54.97,1.01
Talaya,90,RU,1586799818,87,61.38,152.75,8.85,2.26
Vila Franca do Campo,40,PT,1586799661,67,37.72,-25.43,62.6,12.75
Lompoc,90,US,1586799810,82,34.64,-120.46,64.99,5.82
Gondal,36,IN,1586799822,34,21.97,70.8,91.0,8.52
Hukuntsi,57,BW,1586799556,22,-24.0,21.75,78.62,6.02
Kirs,92,RU,1586799825,91,59.34,52.24,32.77,5.37
Tuy Hoa,100,VN,1586799827,86,13.08,109.3,75.97,13.38
Auki,71,SB,1586799828,78,-8.77,160.7,81.52,5.7
Bara,49,NG,1586799829,13,10.37,10.73,93.43,0.6
Den Helder,90,NL,1586799652,70,52.96,4.76,46.99,13.87
Khāsh,96,IR,1586799831,40,28.22,61.22,64.98,7.67
Zhuhai,20,CN,1586799832,55,22.28,113.57,70.0,1.12
Ahipara,72,NZ,1586799833,69,-35.17,173.17,63.12,21.03
Xining,79,CN,1586799834,23,36.62,101.77,43.61,0.76
Barabai,96,ID,1586799836,93,-2.58,115.38,74.1,1.23
Farkhor,90,TJ,1586799837,100,37.49,69.4,59.0,4.47
Smithers,90,CA,1586799605,55,54.78,-127.17,35.6,2.24
Ketchikan,90,US,1586799669,65,55.34,-131.65,44.6,4.7
Agirish,100,RU,1586799840,93,61.92,63.02,35.69,9.13
Mingyue,2,CN,1586799841,50,43.11,128.92,43.77,3.83
Linxia Chengguanzhen,54,CN,1586799842,27,35.6,103.21,47.57,2.95
Cobija,84,BO,1586799843,43,-11.03,-68.77,90.81,6.31
Hīt,0,IQ,1586799845,22,33.64,42.83,70.97,3.33
Trairi,100,BR,1586799846,78,-3.28,-39.27,83.34,6.62
Rome,90,US,1586799844,82,43.21,-75.46,66.99,13.87
Sakakah,0,SA,1586799561,13,29.97,40.21,75.2,4.7
Newport,0,GB,1586799634,49,51.59,-3.0,53.6,19.46
Saint-Philippe,99,RE,1586799850,83,-21.36,55.77,77.0,4.7
La Primavera,39,CO,1586799851,33,5.49,-70.41,95.9,10.04
Marfino,87,RU,1586799852,23,55.7,37.38,55.4,6.71
Constitución,44,CL,1586799752,44,-35.33,-72.42,63.19,13.69
Port Hedland,75,AU,1586799854,83,-20.32,118.57,80.6,3.36
Verkhnyaya Inta,0,RU,1586799856,92,65.98,60.31,19.87,11.41
Meulaboh,99,ID,1586799858,81,4.14,96.13,80.74,3.98
Folldal,90,NO,1586799860,85,62.13,10.0,20.35,18.61
Batemans Bay,21,AU,1586799813,100,-35.72,150.18,55.99,3.98
Catuday,21,PH,1586799862,76,16.29,119.81,77.9,1.77
Pacific Grove,90,US,1586799721,71,36.62,-121.92,59.0,4.09
Saint-Augustin,41,CA,1586799864,91,51.23,-58.65,34.65,12.55
Kaitangata,79,NZ,1586799866,77,-46.28,169.85,44.01,20.83
Loa Janan,82,ID,1586799867,96,-0.58,117.09,74.66,1.52
Brigantine,90,US,1586799843,82,39.41,-74.36,64.99,23.04
San Andrés,20,CO,1586799588,66,12.58,-81.7,87.8,13.87
Rajshahi,0,BD,1586799870,44,24.37,88.6,82.98,7.67
Preobrazheniye,0,RU,1586799871,75,42.9,133.91,36.34,3.42
Champerico,75,GT,1586799873,44,14.3,-91.92,95.0,9.17
Grindavik,75,IS,1586799874,75,63.84,-22.43,42.8,26.4
Ponta Delgada,40,PT,1586799875,67,37.73,-25.67,62.6,12.75
Touros,20,BR,1586799788,46,-5.2,-35.46,91.4,9.17
Varhaug,40,NO,1586799878,60,58.61,5.65,41.0,31.09
Fairbanks,90,US,1586799602,100,64.84,-147.72,36.0,4.7
Bathsheba,40,BB,1586799880,55,13.22,-59.52,87.8,18.34
Novosheshminsk,97,RU,1586799881,88,55.07,51.23,35.87,9.08
Port Moresby,40,PG,1586799647,94,-9.44,147.18,78.8,5.82
Nuevo Progreso,9,MX,1586799884,22,23.17,-97.95,96.01,13.0
Amboasary,0,MG,1586799885,80,-25.03,46.38,75.58,5.84
Copacabana,75,CO,1586799886,61,6.35,-75.51,77.0,2.24
La Baule-Escoublac,41,FR,1586799887,56,47.29,-2.36,68.0,13.87
Sørkjosen,72,NO,1586799888,86,69.8,20.93,34.52,17.85
Liverpool,0,GB,1586799889,46,53.41,-2.98,52.0,9.17
Santa Vitória do Palmar,100,BR,1586799892,62,-33.52,-53.37,71.94,5.35
Sawākin,8,SD,1586799893,62,19.11,37.33,75.51,10.38
